name,latitude,longitude
Manav Mandir,23.0461532,72.5396662
"Karnvanath Mahadev, Shiv Temple",23.0470512,72.5498248
Paramdham Temple,23.0279683,72.5206423
Gayatri Mandir,23.0616617,72.5914612
Jalaram Mandir,23.0180339,72.5617653
"Bhimnath Mahadev, Shiv Temple",23.0119553,72.5499794
"Jagannath Mandir, Temple",23.0114213,72.5810755
Sant Asharamji Ashram,23.0931619,72.6024491
N/A,23.0110649,72.5705432
Temple,23.0151595,72.5666935
N/A,23.0141905,72.5682822
N/A,23.0238654,72.590076
Ganjpir Dada Ni Dargah,21.3376879,69.989865
Parshvanath Jain,21.3779863,69.8692659
Manikarnikeshwar Mahadev Temple,22.9978398,72.6073978
Hanuman temple,21.6259471,72.9437811
Koteshwar Temple,23.6876337,68.5275501
N/A,23.6830542,68.5309378
N/A,22.8404642,69.2193509
Mohammed Pannah Mosque,23.2499081,69.6675459
N/A,23.234694,69.7955382
Tropic of Cancer Board,23.5,69.662499
N/A,23.2448861,69.6871851
N/A,23.2577981,69.6624612
N/A,23.2800964,69.7752845
Rudramata Temple,23.3769237,69.7132839
Ranchodrai Temple,22.7543064,73.1503886
Mahadev Temple,23.2638239,69.7065396
Changeswar Mahadev,22.689472,72.8644867
Santram Deri,22.6761037,72.8674001
Mai Mandir,22.6894403,72.8580347
N/A,23.0034536,72.5651766
Saibaba Mandir,20.9437229,72.9222409
Ashapuri Mata Mandir,20.947724,72.9240267
Ramji Mandir,20.9492813,72.927369
Takhteshwar Temple,21.765831,72.1457408
Sai Baba Temple,20.5862687,72.8983632
Swami nayaran tample,22.2930295,70.7819751
Ambe Mata Mandir,23.2451973,72.6476554
Shri Tarangaji,23.9666637,72.7543021
Dada Alay,22.3046807,73.2049371
Sai Baba,22.3035443,73.2043115
Shree Siddhivinayak Temple,22.2999403,73.1994009
Suryanarayan Temple,22.3034353,73.1970121
Khane Rafaiya Masjid,22.2994661,73.1959004
N/A,22.3051002,73.2040287
N/A,23.0246727,72.5824724
N/A,23.0173101,72.5896206
Gopnath Mahadev Mandir,23.0688147,72.5648948
Mar gregorios orthodox church,23.6101893,72.3827859
Hanumanji mandir,23.6061169,72.2924258
Mahakali Mataji temple,23.5979404,72.2201756
Shri Malguru Maharaj Vav Sankul,23.3141083,72.3340278
Verai Mataji temple,23.3440706,72.3553324
Pipaleshwar Mahadev Temple,23.3439008,72.3538086
Kshemkalyani Mata Nu Mandir,23.4695225,72.2947187
Ganpati Dada Temple,23.7841868,72.2811348
Goriaya Veer Temple,23.7688388,72.3658463
Vaijnath Mahadev Mandir,23.8054396,72.4173741
Tejeshwar Mahadev mandir,23.2945815,72.3349835
Bhoyani Jain Tritha,23.3595416,72.2290503
Mahadev Mandir,23.4055762,72.2425677
Dudhai Khodiyar Ma,23.2433137,72.3218146
Bahucharaji mataji mandir,23.6274947,72.3383431
Punit Ashram,23.0024214,72.605685
Shri Simandhar Swami Jain Derasar,23.5931939,72.3795053
Gayatri Mandir,23.5888424,72.3783165
Deveshwar Mahadev Mandir,23.2622377,72.2747222
Khodiyar Temple,23.262212,72.2743953
Ram Ji Mandir,23.262048,72.2739589
Dashamma temple,23.8510539,72.0705873
Sri Sai Baba Temple,23.8348702,72.104312
Shree Pareviya Veer Dada Mandir Complex,23.787609,72.1368582
Rehoboth Christian Assembly,23.0010208,72.5368761
Jumma Masjid,24.2190841,72.1537992
Brahmaji Temple,24.038289,73.0478911
Kashi Vishwanath Mahadev Temple,24.0343243,73.0468652
Gayatri Mandir,24.0340798,73.0468102
Pankheshwar Mahadev Temple,24.0356153,73.0515069
N/A,24.029778,73.0515057
Vimalnath Jain Temple,24.0306374,73.0477269
Adinath Jain Temple,24.0389484,73.0472569
Mahakali Temple,24.0386903,73.0507815
Bapa Sitaram Madhuli,24.028122,73.0419651
Chehar Mata temple,23.6721553,72.0185438
Guruma Samadhi Mandir,23.125173,72.6123146
Hathising Tonk,21.483205,71.7950485
Keshavji Nayak Tonk,21.4824299,71.7952016
Shantinath Temple,21.4821662,71.7952609
Samavasaran,21.4823462,71.7950016
Neminath ni Chaury,21.4820999,71.7951252
Amizara Temple,21.4823479,71.7948644
Sothambha Temple,21.4821956,71.7944262
Kumarpal Temple,21.4816895,71.7944022
Pundrik Swami Temple,21.4816679,71.7940456
Mount Meru,21.4815308,71.7940617
New Temple of Adinath,21.481482,71.7939163
Sahastrakoot Temple,21.4813929,71.7938036
Sammet Shikhar Temple,21.4813767,71.7936045
Vish Viharman Temple,21.4812404,71.7936189
Ashtapad Temple,21.4812768,71.7934804
Bharat - Bahubali Temple,21.4816124,71.793513
14 Ratna Temple,21.4816763,71.7935634
Rayan Pagala,21.4815172,71.7934598
Gandhar Pagala Temple,21.4817294,71.7936234
Simandhar Swami Temple,21.4817031,71.7937696
New Tonk Adishwar Temple,21.4819905,71.7939244
Gandhariya Chaumukhji Temple,21.4817942,71.7939546
Adbhut Adinath (Adabadji) Temple,21.4833304,71.7943003
Premchand Modi Tonk,21.4835924,71.7937073
Sahastrafana Parshwanath Temple,21.4834796,71.7939237
Sheth Hemabhai Tonk,21.4837833,71.794183
Ujambai (Nandishwar Dwip) Tonk,21.4836656,71.7947983
Sakar Shah Tonk,21.4839036,71.7948663
Panch Pandav,21.4841092,71.7947336
Chaumukhji (Sava Som or Khartarvasahi) Tonk,21.4841751,71.7952786
Chhipa Vasahi (Bhavsar) Tonk,21.4840039,71.7952773
Marudevi Temple,21.4843482,71.796089
Narshi Keshavji Tonk,21.484429,71.7962227
Shantinath (Samprati) Temple,21.4842438,71.7960906
Kavad Yaksha shrine,21.5052984,71.8142059
Saraswati shrine,21.5048961,71.8136399
N/A,22.3492355,73.1403974
N/A,20.8907269,73.7957122
Shree Swaminarayan Temple Gadi Sansthan,22.9955398,72.6107331
Ambaji Mata Temple,22.9912494,72.6083788
Baba Ramdev Pir Temple,22.992009,72.605944
Ram Krishna Temple,22.9916559,72.6062149
Shiv Mandir (Temple of Lord Shiva),22.9915288,72.6063779
Lakhpat Gurdwara,23.8260774,68.7786462
Vishnu temple,23.6744311,68.5384187
Panchdev Mahadev Mandir,23.0654461,72.5424404
Hanuman Mandir,20.3245028,72.7877985
Amba mata Temple,24.0441518,73.0507818
Ramdevpeer Patiyu,23.5434309,70.7973158
"Khodiyar Temple, New Ranip",23.0925942,72.5664534
ramaji mandir,23.8168456,72.2588091
Dadabhagwan Trimandir - Adalaj,23.1784824,72.5721279
Shiv temple,22.6024449,70.2024989
Khiri temple,22.5788273,70.2073151
Dattatrey Temple,23.9340466,69.8138824
Khamasa Parsi Agiyari,23.0212928,72.5847376
omkar,21.2002764,72.7979723
Gauri Maiya,23.7533086,72.0174021
mandir,22.3046333,70.8021796
JAY,20.1873399,72.7501227
MY NEW HOUSH,20.1899766,72.7527938
Jain Temple,23.0333137,72.5599824
Sai Baba Temple,23.0804158,72.6203895
Dariyakhan Ghummaj,23.0526575,72.5867794
N/A,21.5252891,70.4863168
St. Xavier's,21.5252711,70.4589685
Padmavati Temple,21.4933716,71.8047744
N/A,21.5057843,71.81256
N/A,22.8345315,69.3609756
N/A,23.2447825,69.6867673
N/A,23.2465246,69.6873784
N/A,23.2477834,69.6658612
N/A,23.2483688,69.6654751
Hatkeshwar temple,23.2519899,69.667352
N/A,23.2543987,69.6745701
N/A,22.9967195,71.4442012
N/A,23.0070388,71.331133
Swaminarayan Akshardham Temple,23.2293849,72.674088
Gayatri Mandir,23.2002512,72.6432038
Dharmeshawar Mahadev Temple,23.0784656,72.5916738
Jain Derasar,23.0803221,72.5922625
Ramji Mandir,23.0836988,72.5895182
Vaishno Devi Mataji Mandir,23.0790305,72.5895455
Bhidbhanjan Mahadev Mandir,22.8429278,69.7222907
Kalyaneshwar Mahadev Temple,22.8400365,69.7247082
"Shree Ayyappa Temple, Ankleshwar",21.6477866,73.0098801
Shiv Temple,22.48712,70.0654358
Mar Toma Syrian,22.4887355,70.0532028
N/A,22.3254368,73.2046404
Mata No Dhou,22.7859139,69.6242143
Mata No Dhvou,22.7858915,69.6242365
Ramjee mandir,23.6021884,72.3987352
N/A,22.2902383,70.7435642
N/A,21.6353709,69.6723203
Kshirjamba Mataji Temple,24.0292885,73.0554367
Swaminarayan,21.6307847,69.6317324
N/A,23.6715233,69.7133961
KAMBIMATA TEMPLE,22.7308958,70.4557986
BILESHWAR MAHADEV TEMPLE,22.7334562,70.4320423
N/A,22.73746,70.426246
Gadh,22.7390581,70.4258303
N/A,22.7418602,70.4245024
N/A,22.7406722,70.4607171
Atmajyoti Ashram,22.3160942,73.1558028
Kumbharia Jain Temples,24.3240411,72.8627546
Modhera Sun Temple,23.5834213,72.1330777
N/A,23.6095167,70.4080803
N/A,22.9172581,69.266428
N/A,22.7841544,69.4440702
Rukmini Devi Temple,22.2573308,68.9643978
N/A,22.6599318,70.3467109
N/A,22.6936864,70.4878961
72 Jinalaya,22.9001262,69.4141346
Kothara Shantinath Jain temple,23.1356793,68.9355239
Aglod jain temple,23.6316503,72.8093414
Bhadreshwar Jain Temple,22.9114173,69.9041934
Vanki Derasar,22.9895716,69.7039528
N/A,22.7410981,70.4612383
Shree Bhagwati Angashi Foi Temple,23.3407781,72.4457502
The Khodiyar Temple,23.3476978,72.4447012
Shri Hanumanji Temple,23.2327276,72.494053
Swaminarayan Temple,21.7748839,73.1342839
N/A,21.7673185,73.1339765
Sai temple,21.7179155,73.0297882
Om temple,21.7195656,73.0425028
Shiva temple,21.7195257,73.0455766
Dhudheswar temple,21.71294,73.0358259
Hanuman Temple,22.0839406,73.289541
shiva temple,22.0858426,73.2465695
shiva temple,21.7243995,73.0195614
Dodhia Jain Temple,22.9840655,69.1265156
RADHA KRISHNA MANDIR,22.7383089,70.4257709
Hanuman Temple,23.6617962,72.9623755
Sai Temple,23.657517,72.9612692
Gayatri Shaktipith,23.6135222,72.9791169
Mahakali Mandir,23.7236053,73.0565685
Shree Ram Temple,21.2123825,72.7832555
Shanidev Temple,21.2121375,72.7827458
Merulaxmi Temple,21.2114076,72.7969847
Ganesh Temple,21.2115377,72.7928165
Somnath Mahadev,21.2104824,72.7843622
Hanuman Temple,21.2081685,72.7863311
Swaminarayan Temple BAPS,21.7271126,73.0311562
Chamak,23.2992814,72.4385846
Swaminarayan temple,22.4535093,70.0285144
N/A,22.4642775,70.0519347
Ratanbai masjid,22.4664369,70.0774794
N/A,22.4645249,70.0773233
Kashi wishwanath Temple,22.4715592,70.0760996
Church,22.473296,70.068086
Saibaba temple,22.4961475,70.0583598
Nilkanth Mahadev,22.4680539,70.0697144
saifee masjid,22.4613861,70.0790358
Bhurani masjid,22.4622998,70.0783817
Ashapura temple,22.0985516,69.4170427
Vohra hajira,22.4752263,70.0833095
Badri Masjid,22.4747736,70.0830014
Jalaram mandir,23.5581593,72.3745152
kisan gausala,22.2618313,70.8317383
Gururaj navkar jain mandir white,23.3047713,72.4361293
Amarnath mandir,23.6195727,72.3953542
khodiyar mata mandir,23.630845,72.3948407
Somnath tample mehsana,23.6252422,72.3958959
Aman masjid,23.6126713,72.4028207
Shree Swaminarayan Mandir,21.2106513,72.7906811
Bechraji entrance,23.4998652,72.0484815
samuben mervada,23.6023435,72.2787062
Swaminarayan baps,23.5900238,72.3773528
 Hanuman mandir,23.5946735,72.3792062
Toranvadi tample,23.6022699,72.3913441
Daityasudan Temple,20.8897256,70.4023073
Shri Chandraprabh Swami Jain Temple,20.8902482,70.4024117
Shri Balaji Mandir,20.8865727,70.4057135
Shri Kapardi Vinayak shrine,20.8883344,70.4019235
Shri Hanuman Temple,20.8880633,70.4017485
Shrine of Veer Hamirji Gohil,20.8880759,70.4017874
Ahilyabai Holkar Somnath Temple,20.8879852,70.4035005
Mahakali temple,20.8883688,70.4030364
Veneshwar Mahadev Mandir,20.8901778,70.407529
Bramha Kund,20.8854329,70.4066156
Rudreshwer Mahadev Mandir,20.8861812,70.410364
Lord Parshuaram Temple,20.8846228,70.4097906
Durgeswer Mandir,20.883544,70.4095077
Kali Mandir - Chandrabhaga,20.8835177,70.4095231
Guru Dattatreya,20.8835635,70.4095043
Kal Bhairav,20.8835791,70.4095164
Shri Ram Mandir,20.884505,70.4130232
Shri Triveni Mataji Mandir,20.8844805,70.413245
Kamnath Mahadeva temple,20.8856356,70.4125669
Adishankaracharya cave,20.8857408,70.4126965
Sharada Mutt,20.8856084,70.412697
"Hingalaj Mata cave, Kuladevi of Pandavas",20.8860167,70.4133969
Sun Temple,20.8859943,70.4131501
Panch Pandava Gufa,20.886042,70.4134289
Lord krishna charan paduka,20.8874423,70.4157333
Lord Baldevji ki Gufa,20.8870869,70.4153882
Gita Mandir,20.8869827,70.4154537
Laxmi Narayan Mandir,20.8871894,70.4153528
Mahaprabhujee ni baithak,20.8874384,70.4155726
Bhimnath Mahadev,20.8883899,70.4149507
Meria Kaka Jain Shrine temple,20.8893257,70.4143593
Shri Nrusinh Mandir,20.8896778,70.4140673
Gupteshwer Mahadev,20.8911394,70.4134222
Umiya mataji,23.3731533,72.4084722
Jain derasar,23.3743665,72.4082444
Zulelal Mandir,23.6092519,72.3976841
Shree bala hanuman mandir,23.6048797,72.3882698
Gurudwara,23.6113525,72.3831739
shree ganpati mandir,23.6042728,72.3900943
Maldi mataji mandir,23.6239644,72.3764791
shree mahadev mandir,23.6149677,72.4074659
Makardhwaj Hanuman Mandir,20.8999917,70.4234198
Shree Bhidbhanjan Hanuman Mandir,20.8946283,70.4056647
Suryaputra Shani Dev Mandir,20.8946299,70.4056279
Laxmi Narayan Temple,20.913996,70.3515507
Darul Ulm Saiyad Ali Sarkar,23.433985,72.3949416
parsuram ashram,23.3539936,72.4162188
Umiya mata tample,23.802125,72.3967245
Vasupujya Jain Temple,23.5924498,72.3824255
Shree Khantiratna Jain Swadhyay Mandir,23.5922154,72.3821396
Masjid,23.5911357,72.3801265
shree satay narayan mandir,23.2445089,72.4981096
sankat mochan hanuman mandir,23.5894888,72.3853318
Masjid,23.6052651,72.3960087
Masjid,23.6056232,72.395914
Rajkot Dadabhagwan Trimandir ,22.3427222,70.9051944
Jogni mataji mandir,23.2503838,72.4857532
BAPS Swaminarayan Temple,23.6071822,72.3808469
Manav Ashram -mehsana,23.615345,72.4080001
Gaytri sakti pith -kalol,23.2473283,72.4856455
Swaminarayan ,23.0055252,72.5522649
Swaminarayan Temple Bavla,22.8342872,72.366148
Yagnashala,21.6351407,69.6727559
Sai baba mandir,23.599005,72.4082683
ambe mataa mandir,23.0593777,72.5364499
Sindhi Dharam shala,23.6086114,72.3972796
Pratishtha Apt,21.1589527,72.7777947
Kishan Gausala,22.2618791,70.8313248
Khodiyar Temple,22.6978988,72.8551236
Ramdev pir Temple,22.68991,72.8456374
Gurudwara,22.7025573,72.842763
Gorthiya Mahadev Temple,23.4323022,73.0493573
Madavari - Mata Amba Temple,23.4654168,73.1131613
Julelal mandir,22.3163861,70.7967558
Swaminarayan temple poicha,21.9704614,73.462695
Swaminarayan Temple,20.6121286,72.8916543
Pipaliya Goga Maharaj Temple,23.4648176,73.099037
Koteshwar Mahadev Temple / Mandir,23.0945918,72.6119846
Gurukul,23.0457058,72.5268056
Muni Bapu Ashram,23.0148133,72.3829577
Shah E Alam Roza,22.9940973,72.5895788
Jama Masjid,22.9933887,72.5054614
Sai baba,23.0887798,72.6500054
Sant nirankari Ashram,23.0868773,72.6479573
Changodar,22.9402206,72.4567127
Lambha Mandir,22.9413497,72.5798073
Bhadra Kali Temple,23.0239807,72.5814992
Entrance OF 51 Shakteepeeth Arasuri Ambaji Gabbar Tirth,24.3385273,72.8287113
51 Shakteepeeth Arasuri Ambaji Gabbar Tirth,24.338085,72.8263539
BAPS Pramukhswami mandir,22.157481,71.7666696
Mahadev Temple -Ghela Somnath,22.0667202,71.3677609
Kokran Temple,22.6745993,72.8830477
Saibaba Temple,22.6961881,72.8787142
Eben Ezer Church. Navagam,22.7922561,72.576486
N/A,23.0072825,72.5386698
Sankhalpur,23.5182439,72.0308885
Bindu sarovar,23.9088327,72.3636318
Chandlodiya Temple,23.0838579,72.5530656
Radha Madhav temple bhadaj,23.0983628,72.469948
BAHUCHAR MATA MANDIR,23.4997938,72.0443694
Kankai Mata Temple,21.182038,70.79133
Indreshwar Temple,21.550331,70.48045
Jalaram Mandir,20.6142561,72.9883966
Shiv Mandir,20.6062865,72.9899418
khubsaab masjid,21.2029903,72.8282058
Mahadev Temple,22.9853608,72.6321146
Chamunda Mata Temple,22.9861602,72.6310124
Saibaba Temple,22.9866323,72.6300604
Mahadev Temple,22.9831015,72.6248105
Temple,22.9849403,72.6295687
Swaminarayan gurukul kandari,22.0783687,73.1521676
Solahkhambhi Mosque ruins,22.9097263,69.9026194
Pir Lal Shahbaz Dargah,22.9103465,69.9003583
Chokhanda Mahadev temple,22.8893445,69.8983118
Bukhari Pir Dargah,22.8406196,69.7211389
NArmedeshwar tample,22.4860429,70.0533501
Shree Swaminarayan Vishranti Bhuvan (Under Bhuj),23.1096913,72.6299612
Gopalji Temple,23.1669413,72.8214463
Umiya Temple,23.1563963,72.7999306
Khodiyar Temple,23.1661716,72.8166247
Shiv Mandir,21.1755841,72.8232281
N/A,23.164606,72.8113088
Ramdev pir mandir mangrol,21.1236229,70.1200977
N/A,23.1659226,72.8133519
Jumma Masjid,21.6919227,72.9820655
Sarveshwar Mahadev Temple,23.0748674,72.5784767
Khodiyar Temple,23.0765706,72.5776658
N/A,20.5773741,73.7523656
Pakshi Mandir,23.660065,73.0798231
Vishnu temple,23.6590405,73.0828513
Base of ruined temple,23.6590036,73.0828594
Shiva temple,23.6589398,73.0828701
Navagraha temple,23.658215,73.083023
Ganesh Shiva temple,23.6570087,73.0820976
Bhimnath mahadev,23.6031711,72.4001056
Bhimnath mahadev,23.6031164,72.4002603
Balaram Mahadev Temple,24.2705258,72.5087956
Ambaji Temple,24.1740697,72.434025
Vishwakarma Temple,24.1739103,72.4338803
Kapileshwar Mahadev Temple,24.400981,71.4854132
Pataleshwar Temple,24.1739619,72.4321649
Jain Derasar,24.1720821,72.4377577
Mota Ramji Mandir,24.172801,72.4380562
Dharashnvel Temple (Magderu),22.289111,69.051442
Guhaditya temple,22.3010109,68.9869626
Junagadhi (Jain) Temple,22.317991,68.9990628
Kankeshvara Mahadeva temple & other shrines,22.318436,68.9973636
Gop Temple,22.0288533,69.9291298
Galteshwar Temple,22.7848805,73.2780749
Adnath Temple,20.8514107,70.7907872
Bhavnath Mahadev Temple,21.7776159,72.144317
Gopnath Temple,21.2099646,72.1078996
Temple,20.8684586,73.1680044
Om shanti,23.0873143,72.6192277
Dargah,23.4568466,73.298677
BAPS Swaminarayan Temple,23.4575764,73.3011975
Kantheria Hanuman Temple,24.1793954,72.4425701
Kalpyan Pushti Haveli,23.0384308,72.5306552
Paniyari Ashram,24.1801194,72.6485236
Chintamani Parshwanath Mandir,23.1792586,71.9793722
Rama Lakshamana Temples,22.19546,69.018989
Charbhuja Mandir,23.0060333,72.7511315
Khodiyar Mandir,21.5261844,70.4717875
godhar,23.1467573,73.7646098
Balaji Hanuman Mandir,22.2945908,70.8044948
Ganesh Temple,21.1645985,72.7753696
Ganesh Temple,21.1650904,72.7759941
Krishna Mandir,21.176977,72.8073848
Khuneshwar Temple,22.4731813,73.5214916
N/A,22.4609222,73.5305574
